id,brand,target_culture,country_group,platform,year,text,gt_risk,gt_topic,gt_intent,gt_context,source,is_ad_library
1,H&M,Sweden / Global,Sweden,Online ad / in-store,2018,"""Coolest Monkey in the Jungle"" — hoodie slogan modeled by a Black child",Taboo,Race/Ethnicity,Unintentional,"Unintentional styling oversight; echoed racist primate stereotype, apologized and pulled",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
2,Pepsi,USA / Global,USA,TV/Social ad,2017,"Ad shows Kendall Jenner leaving a photoshoot to join a protest and hand a police officer a Pepsi, defusing tension",Taboo,History/Politics,Intentional,Intentional co-opting of protest imagery trivialized real activism; pulled within 24h,https://pony.studio/design-for-growth/8-most-controversial-marketing-campaigns,False
3,Gucci,Italy / Global,Italy,Product / runway,2019,Black balaclava jumper with a cutout red-lipped mouth around the face opening,Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, design closely resembled blackface caricature",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
4,Dolce & Gabbana,China,China,Video ad (SNS),2018,"""DG Loves China"" video shows an Asian model struggling to eat pizza and spaghetti with chopsticks",Taboo,Race/Ethnicity,Intentional,"Intended as playful, perceived as mocking Chinese culture; canceled Shanghai show",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
5,BECCA Cosmetics,Australia,Australia,Social media ad,2018,"Foundation shade ad appears to show a white model’s hand painted/photoshopped black, palm left white",Taboo,Race/Ethnicity,Unintentional,"Unintentional, read as blackface-style imagery",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
6,Local ice cream parlor,India,India,Store branding / signage,2016,Ice cream cartons and store branded with the name and image of Adolf Hitler,Taboo,History/Politics,Intentional,"Intentional shock branding, ignored global sensitivity to Holocaust/Nazi imagery",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
7,Swatch,Global (Asia-facing),Global,Print/social ad,2020,"Campaign image shows an Asian male model making a hand gesture near his eyes read as mimicking ""slanted eyes""",Taboo,Race/Ethnicity,Unclear,"Unclear intent, perceived as echoing anti-Asian mockery gesture",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
8,PureGym,UK,UK,App notification / social,2018,"""Twelve Years of Slave"" workout challenge — ""slavery was hard, and so is this""",Taboo,Race/History,Intentional,"Intentional wordplay for shock value, trivialized historical slavery",https://www.stylist.co.uk/life/ridiculously-sexist-misogyny-anti-feminist-adverts-posters-billboards-present-modern-day/69598,False
10,Pepsi,China,China,Slogan,1960,"""Pepsi Brings You Back to Life"" mistranslated as ""Pepsi Brings Your Ancestors Back from the Grave""",Taboo,Language/Wordplay,Unintentional,Unintentional literal mistranslation touching ancestor-veneration beliefs,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
11,American Airlines,Mexico,Mexico,Slogan,1987,"""Fly in Leather"" translated to Spanish as ""Vuela en Cuero"" — understood as ""Fly Naked""",Taboo,Language/Wordplay,Unintentional,Unintentional literal mistranslation with sexual connotation,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
